Tarih,Close,Open,High,Low
12.03.2013,1.8029,1.7994,1.809,1.7957
13.03.2013,1.8126,1.8026,1.8167,1.7967
14.03.2013,1.8098,1.8128,1.818,1.809
15.03.2013,1.8063,1.8095,1.8147,1.8037
18.03.2013,1.813,1.8083,1.8191,1.8056
19.03.2013,1.8251,1.8129,1.827,1.8095
20.03.2013,1.8176,1.8276,1.8298,1.8157
21.03.2013,1.8184,1.818,1.8226,1.8091
22.03.2013,1.8146,1.8165,1.8231,1.8111
25.03.2013,1.8225,1.8107,1.8252,1.8077
26.03.2013,1.8143,1.8238,1.825,1.812
27.03.2013,1.8144,1.8148,1.826,1.8111
28.03.2013,1.8104,1.8133,1.819,1.8068
29.03.2013,1.809,1.811,1.8145,1.8064
01.04.2013,1.8051,1.8097,1.8156,1.8046
02.04.2013,1.8033,1.8062,1.812,1.8
03.04.2013,1.8089,1.8049,1.815,1.8005
04.04.2013,1.8034,1.8089,1.816,1.8023
05.04.2013,1.7936,1.8034,1.809,1.7926
08.04.2013,1.786,1.7963,1.7987,1.7845
09.04.2013,1.7843,1.7847,1.7906,1.7784
10.04.2013,1.7895,1.7846,1.791,1.7805
11.04.2013,1.7848,1.7895,1.792,1.783
12.04.2013,1.7881,1.7839,1.7941,1.7829
15.04.2013,1.7929,1.7891,1.7944,1.7859
16.04.2013,1.788,1.7921,1.7994,1.7843
17.04.2013,1.7995,1.7882,1.8023,1.785
18.04.2013,1.7965,1.8008,1.8033,1.7928
19.04.2013,1.7998,1.798,1.803,1.7935
22.04.2013,1.8043,1.802,1.811,1.7959
23.04.2013,1.8046,1.8038,1.8119,1.801
24.04.2013,1.8024,1.8054,1.8105,1.802
25.04.2013,1.7988,1.8028,1.8064,1.7959
26.04.2013,1.7975,1.7985,1.806,1.7947
29.04.2013,1.7956,1.7981,1.801,1.791
30.04.2013,1.793,1.7956,1.803,1.7915
01.05.2013,1.7927,1.794,1.7972,1.791
02.05.2013,1.7928,1.7927,1.799,1.786
03.05.2013,1.7943,1.7915,1.8007,1.7898
06.05.2013,1.7972,1.7976,1.803,1.793
07.05.2013,1.7968,1.7961,1.8039,1.793
08.05.2013,1.79,1.7964,1.802,1.788
09.05.2013,1.7987,1.7924,1.8013,1.788
10.05.2013,1.8013,1.7987,1.809,1.796
13.05.2013,1.812,1.8013,1.816,1.8004
14.05.2013,1.8155,1.813,1.82,1.8078
15.05.2013,1.8226,1.817,1.8295,1.816
16.05.2013,1.8241,1.8226,1.841,1.8195
17.05.2013,1.8421,1.8233,1.8482,1.821
20.05.2013,1.8408,1.8427,1.851,1.8375
21.05.2013,1.8431,1.8408,1.858,1.8405
22.05.2013,1.8491,1.8431,1.8527,1.832
23.05.2013,1.8464,1.8481,1.861,1.8425
24.05.2013,1.8466,1.8449,1.8515,1.8399
27.05.2013,1.8458,1.8501,1.8501,1.8395
28.05.2013,1.858,1.8458,1.863,1.8435
29.05.2013,1.8605,1.8604,1.873,1.857
30.05.2013,1.8735,1.8605,1.883,1.8574
31.05.2013,1.8756,1.8723,1.8978,1.8638
03.06.2013,1.8828,1.8794,1.9021,1.8792
04.06.2013,1.8769,1.8848,1.8912,1.869
05.06.2013,1.8923,1.8785,1.8951,1.8707
06.06.2013,1.8932,1.8921,1.9088,1.8798
07.06.2013,1.873,1.8935,1.903,1.873
10.06.2013,1.9018,1.877,1.905,1.8746
11.06.2013,1.8918,1.9018,1.911,1.8844
12.06.2013,1.8752,1.8916,1.8965,1.868
13.06.2013,1.8616,1.875,1.8795,1.8594
14.06.2013,1.859,1.862,1.865,1.849
17.06.2013,1.8741,1.8576,1.8774,1.8566
18.06.2013,1.8865,1.8733,1.891,1.868
19.06.2013,1.902,1.8865,1.9107,1.877
20.06.2013,1.9369,1.903,1.9525,1.899
21.06.2013,1.9388,1.9376,1.95,1.923
24.06.2013,1.9438,1.9376,1.963,1.932
25.06.2013,1.9311,1.9438,1.9495,1.9235
26.06.2013,1.9354,1.9311,1.946,1.922
27.06.2013,1.9199,1.9354,1.9383,1.916
28.06.2013,1.9288,1.922,1.939,1.913
01.07.2013,1.924,1.9303,1.9321,1.9185
02.07.2013,1.9331,1.923,1.9387,1.9164
03.07.2013,1.947,1.9339,1.957,1.9319
04.07.2013,1.943,1.946,1.96,1.9355
05.07.2013,1.9683,1.942,1.973,1.9415
08.07.2013,1.9473,1.9679,1.9755,1.942
09.07.2013,1.9415,1.9463,1.954,1.932
10.07.2013,1.9497,1.9405,1.964,1.935
11.07.2013,1.9511,1.9497,1.9594,1.9201
12.07.2013,1.9525,1.9506,1.9685,1.9455
15.07.2013,1.9335,1.956,1.9564,1.9318
16.07.2013,1.921,1.9335,1.94,1.917
17.07.2013,1.9108,1.92,1.932,1.9066
18.07.2013,1.9214,1.9098,1.9266,1.909
19.07.2013,1.9181,1.9211,1.9297,1.9152
22.07.2013,1.912,1.9189,1.921,1.91
23.07.2013,1.9004,1.913,1.921,1.8998
24.07.2013,1.9213,1.9004,1.9265,1.8983
25.07.2013,1.9206,1.9195,1.9332,1.9142
26.07.2013,1.926,1.9215,1.9327,1.9177
29.07.2013,1.9263,1.9269,1.931,1.9194
30.07.2013,1.9229,1.9255,1.9307,1.9187
31.07.2013,1.9353,1.9232,1.948,1.922
01.08.2013,1.947,1.9345,1.952,1.932
02.08.2013,1.9255,1.9465,1.9532,1.9212
05.08.2013,1.9303,1.9235,1.937,1.921
06.08.2013,1.9252,1.9295,1.9362,1.9232
07.08.2013,1.9322,1.9244,1.9352,1.924
08.08.2013,1.9225,1.9319,1.9329,1.916
09.08.2013,1.9204,1.9215,1.9249,1.9129
12.08.2013,1.9251,1.9225,1.929,1.913
13.08.2013,1.934,1.9251,1.937,1.919
14.08.2013,1.9344,1.9343,1.9443,1.9307
15.08.2013,1.9345,1.9366,1.949,1.9245
16.08.2013,1.9446,1.9337,1.9463,1.9302
19.08.2013,1.9544,1.945,1.958,1.935
20.08.2013,1.9496,1.9545,1.957,1.941
21.08.2013,1.9785,1.9496,1.982,1.947
22.08.2013,1.9936,1.9782,1.999,1.9757
23.08.2013,1.9878,1.9942,2.0027,1.9797
26.08.2013,1.998,1.9878,2.002,1.985
27.08.2013,2.0363,1.9987,2.0437,1.9968
28.08.2013,2.0374,2.0365,2.075,2.0327
29.08.2013,2.0358,2.04,2.0422,2.0228
30.08.2013,2.0403,2.0366,2.0475,2.0246
02.09.2013,2.0213,2.0359,2.0368,2.0098
03.09.2013,2.0584,2.0235,2.0657,2.015
04.09.2013,2.0505,2.0595,2.069,2.032
05.09.2013,2.0691,2.0502,2.0872,2.0464
06.09.2013,2.0465,2.0704,2.0785,2.0435
09.09.2013,2.0266,2.046,2.0551,2.0244
10.09.2013,2.0141,2.0264,2.0388,2.0038
11.09.2013,2.0117,2.0145,2.029,2.002
12.09.2013,2.0306,2.0124,2.0338,2.0082
13.09.2013,2.028,2.0315,2.041,2.021
16.09.2013,2.0045,2.0277,2.0292,1.9858
17.09.2013,2.0018,2.0061,2.0157,1.9967
18.09.2013,1.9501,2.0022,2.0102,1.9422
19.09.2013,1.9605,1.9511,1.9927,1.9322
20.09.2013,1.9799,1.9618,1.9896,1.9587
23.09.2013,1.9853,1.9778,1.9955,1.9712
24.09.2013,1.9989,1.9853,2.0059,1.9818
25.09.2013,2.016,1.9971,2.0164,1.9931
26.09.2013,2.0228,2.0179,2.0263,2.0062
27.09.2013,2.0309,2.0227,2.0442,2.0132
30.09.2013,2.0186,2.0418,2.0477,2.0127
01.10.2013,2.0094,2.0198,2.0228,2.0013
02.10.2013,1.9939,2.0079,2.0242,1.9932
03.10.2013,2.0029,1.9953,2.0098,1.9908
04.10.2013,1.9871,2.0029,2.0047,1.9857
07.10.2013,1.9937,1.9879,2.0042,1.9862
08.10.2013,1.9889,1.9936,1.9974,1.9774
09.10.2013,1.982,1.9907,1.9937,1.9787
10.10.2013,1.9745,1.9827,1.9882,1.9722
11.10.2013,1.9823,1.9774,1.9897,1.9717
14.10.2013,1.9818,1.9836,1.9925,1.9782
15.10.2013,1.9882,1.9827,1.9918,1.9802
16.10.2013,1.9728,1.9877,1.9886,1.9709
17.10.2013,1.9659,1.974,1.9808,1.962
18.10.2013,1.9686,1.9667,1.9748,1.9623
21.10.2013,1.9812,1.9681,1.9853,1.9634
22.10.2013,1.9685,1.9821,1.99,1.965
23.10.2013,1.9758,1.968,1.9808,1.9665
24.10.2013,1.9796,1.9743,1.9842,1.9672
25.10.2013,1.9835,1.9805,1.9917,1.9767
28.10.2013,1.9841,1.9835,1.9907,1.9767
29.10.2013,1.9914,1.9852,1.9957,1.9831
30.10.2013,1.9947,1.993,1.9994,1.9802
31.10.2013,1.996,1.9945,1.9992,1.9852
01.11.2013,2.017,1.9969,2.0247,1.9917
04.11.2013,2.0162,2.014,2.0242,2.0112
05.11.2013,2.0298,2.0176,2.0377,2.0147
06.11.2013,2.0356,2.0322,2.0417,2.0237
07.11.2013,2.0352,2.0356,2.0405,2.0192
08.11.2013,2.039,2.0344,2.053,2.02
11.11.2013,2.0433,2.0393,2.0492,2.0327
12.11.2013,2.0545,2.0446,2.0623,2.0423
13.11.2013,2.0442,2.055,2.0612,2.0429
14.11.2013,2.0333,2.0442,2.0528,2.0317
15.11.2013,2.0293,2.033,2.044,2.0265
18.11.2013,2.0219,2.0316,2.0358,2.0162
